"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/21","玡马","CO",0.84,0.78,0.79,0.86,0.86,0.76,0.86,0.94,0.97,1.05,1.16,0.9,0.82,0.77,0.72,0.63,0.61,0.69,0.78,1.03,1.15,1.02,0.93,0.74
"2018/01/21","玡马","NOx",27,25,25,26,25,22,23,27,30,33,39,53,33,33,43,38,35,28,25,35,39,35,33,26
"2018/01/21","玡马","O3",17,15,12,8.2,6.8,8.4,7.2,6.7,11,16,27,25,36,40,39,46,44,47,45,32,22,22,19,20
"2018/01/21","玡马","PM10",132,126,126,139,153,156,153,161,166,157,150,154,144,122,110,105,103,101,93,89,98,110,111,104
"2018/01/21","玡马","SO2",3.3,2.8,2.6,2.5,1.8,1.6,1.5,1.5,1.7,2.1,3.3,14,8,7.1,13,13,11,5,2.8,2.7,2.9,2.7,2.7,2.7
"2018/01/22","玡马","CO",0.63,0.57,0.56,0.56,0.51,0.6,0.6,0.81,0.89,0.73,0.54,0.46,0.49,0.43,0.49,0.64,0.65,0.84,0.97,0.95,0.92,0.96,1.05,1.02
"2018/01/22","玡马","NOx",23,18,17,16,13,14,17,24,32,32,25,25,22,25,19,21,24,31,38,36,34,34,36,34
"2018/01/22","玡马","O3",21,19,16,15,17,18,22,20,14,18,25,30,40,40,53,51,42,30,22,22,25,25,22,20
"2018/01/22","玡马","PM10",94,85,85,99,113,110,94,77,72,68,56,49,57,68,71,78,84,86,94,104,105,105,117,123
"2018/01/22","玡马","SO2",2.6,2.3,2.4,2.2,1.6,1.7,1.7,1.7,2.4,2.4,2.4,4,7.6,7.6,3.4,2.8,3.1,3.1,3.4,2.8,2.7,2.8,3.2,3.4
"2018/01/23","玡马","CO",0.96,0.84,0.81,0.76,0.83,0.83,0.87,1.1,1.22,1.17,0.94,0.65,NA,NA,0.47,0.36,0.32,0.38,0.53,0.74,0.75,0.86,NA,NA
"2018/01/23","玡马","NOx",32,NA,23,22,22,24,29,42,46,44,34,28,NA,NA,NA,16,19,16,21,30,34,38,NA,NA
"2018/01/23","玡马","O3",16,13,17,14,13,9.6,6.8,6.1,11,22,42,NA,NA,NA,NA,68,56,54,43,30,22,14,NA,NA
"2018/01/23","玡马","PM10",119,110,103,102,97,91,87,88,97,107,109,104,NA,NA,76,82,81,76,85,99,115,120,NA,NA
"2018/01/23","玡马","SO2",3.6,4.1,4,4.2,3.8,3.7,3.6,4.5,4.4,4.1,5.4,7.5,NA,NA,NA,5.9,6.7,4.3,3.8,3.5,3,2.8,NA,NA
"2018/01/24","玡马","CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,0.92,0.67,0.59,0.45,0.43,0.43,0.49,0.59,0.69,0.73,0.9,0.91,0.87,0.82
"2018/01/24","玡马","NOx",NA,NA,NA,NA,NA,NA,NA,NA,NA,74,51,33,28,29,17,18,18,21,26,28,38,39,35,34
"2018/01/24","玡马","O3",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,26,44,63,69,76,74,71,58,45,38,27,20,19,14
"2018/01/24","玡马","PM10",NA,NA,NA,NA,NA,NA,NA,NA,113,123,121,119,112,102,99,104,113,119,124,127,126,125,126,120
"2018/01/24","玡马","SO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,4.9,4.7,6.2,10,5.5,5.1,4.6,2.8,2.8,2.8,3,2.7,3.3,3.2
"2018/01/25","玡马","CO",0.69,0.63,0.6,0.61,0.57,0.62,0.72,1.04,1.17,1.05,0.89,0.84,0.76,0.68,0.56,0.54,0.45,0.8,0.89,0.78,0.79,0.97,NA,0.82
"2018/01/25","玡马","NOx",30,26,24,22,20,21,29,43,48,48,43,42,39,30,28,22,17,32,39,33,36,44,NA,37
"2018/01/25","玡马","O3",12,11,12,13,14,11,6.2,5.1,8.1,15,25,34,39,55,59,60,57,39,29,26,16,8.2,NA,5.3
"2018/01/25","玡马","PM10",114,107,98,87,84,88,92,94,97,103,105,104,101,95,95,95,94,102,111,108,100,95,NA,89
"2018/01/25","玡马","SO2",3.6,4.2,4.2,4,3.5,3.4,3.4,4.1,4,4.2,4.4,4.3,4.9,4.4,6.2,4.2,2.7,3.8,3.5,3.3,3.2,3.8,NA,3.1
"2018/01/26","玡马","CO",0.76,0.56,0.45,0.43,0.44,0.43,0.48,0.64,0.69,0.56,0.52,0.46,0.45,0.4,0.41,0.41,0.42,0.62,0.73,0.63,0.6,0.7,0.65,0.55
"2018/01/26","玡马","NOx",33,27,23,20,21,19,20,26,32,29,27,25,25,20,21,19,20,31,35,32,30,36,34,30
"2018/01/26","玡马","O3",6.8,8,9.6,9.5,7.7,10,9.6,9.3,12,17,24,34,44,54,56,48,42,29,20,16,14,7.3,6.9,7.6
