"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/16","到て","O3",15,16,16,17,16,12,11,8.3,13,27,30,38,41,46,43,41,34,25,13,8.9,5.4,2.9,1.5,1.1
"2018/01/16","到て","PM10",97,91,85,80,82,81,84,87,82,68,71,72,72,60,54,49,44,43,58,73,82,91,93,96
"2018/01/16","到て","SO2",2,1.9,1.6,1.8,2,2.5,1.9,4.2,5.4,4.8,4.4,3.5,3.1,2.5,3.1,2.8,2.9,2.2,3.3,3.1,5.8,5.3,3.9,4.2
"2018/01/17","到て","CO",0.51,0.52,0.64,0.6,0.57,0.45,0.46,0.48,0.59,0.53,0.45,0.45,0.41,0.4,0.34,0.35,0.35,0.38,0.37,0.45,0.53,0.53,0.56,0.63
"2018/01/17","到て","NOx",40,41,40,34,32,25,31,34,40,36,26,24,22,22,17,17,22,21,20,24,23,22,19,20
"2018/01/17","到て","O3",0.8,0.8,0.8,0.8,0.7,4.4,2.2,3.5,6.5,14,24,32,32,35,43,45,34,28,24,27,25,20,18,14
"2018/01/17","到て","PM10",87,81,85,81,81,67,60,52,51,53,56,59,64,72,75,81,75,72,71,90,118,130,124,112
"2018/01/17","到て","SO2",4.4,4.5,3.5,4.9,4.2,3.6,4,4.5,7,6.4,4.6,5.4,5,5.1,4.4,4.4,4.2,3.2,2.8,3.8,4,3.5,3.2,3.7
"2018/01/18","到て","CO",0.63,0.61,0.49,0.44,0.51,0.6,0.6,0.56,0.55,0.61,0.53,0.5,0.43,0.41,0.34,0.32,0.33,0.37,0.36,0.41,0.39,0.38,0.39,0.38
"2018/01/18","到て","NOx",19,22,19,17,20,22,24,28,26,29,25,23,20,16,13,12,14,15,15,16,17,16,15,15
"2018/01/18","到て","O3",14,10,11,12,7.4,3.7,2.2,4.4,8.6,12,20,29,36,43,48,46,41,36,31,24,21,20,19,18
"2018/01/18","到て","PM10",108,109,100,95,88,89,89,96,97,91,84,77,81,87,88,93,83,80,66,70,72,71,64,59
"2018/01/18","到て","SO2",4.4,4.7,3.7,3.4,4.1,7.8,6,4.1,4.1,4.7,4.3,4.1,3.7,3.5,3.2,2.9,2.5,2,2.2,2.4,3.1,3.5,4.3,3.5
"2018/01/19","到て","CO",0.38,0.4,0.36,0.46,0.48,0.46,0.33,0.35,0.37,0.35,0.36,0.38,0.41,0.41,0.41,0.44,0.45,0.5,0.55,0.64,0.7,0.61,0.46,0.37
"2018/01/19","到て","NOx",14,14,14,16,18,17,16,15,17,19,21,21,24,25,23,23,26,27,29,32,37,33,24,19
"2018/01/19","到て","O3",16,15,13,9.1,6.5,6.3,8.9,13,15,15,17,18,21,24,29,30,24,20,15,8.5,3.9,3.9,7.9,12
"2018/01/19","到て","PM10",63,62,73,79,91,93,84,65,56,46,50,37,44,46,57,54,52,50,55,67,76,76,61,55
"2018/01/19","到て","SO2",3.1,3.1,2.4,2.7,3.1,2.7,2.3,2.1,2,2.2,2.7,3,3.1,3.4,3,3.5,3.9,3.9,4.4,4.4,4.4,3.5,3.5,3.1
"2018/01/20","到て","CO",0.3,0.32,0.32,0.41,0.43,0.47,0.46,0.5,0.54,0.54,0.57,0.53,0.48,0.52,0.5,0.48,0.47,0.46,0.49,0.51,0.54,0.57,0.57,0.65
"2018/01/20","到て","NOx",12,11,11,14,13,13,14,18,20,21,26,22,16,18,16,14,16,15,15,16,15,17,14,14
"2018/01/20","到て","O3",20,20,19,17,17,13,11,7.9,9.9,15,20,31,45,48,55,57,49,45,40,36,32,26,23,18
"2018/01/20","到て","PM10",51,61,63,66,67,76,86,93,92,98,104,113,107,114,118,124,113,97,82,77,85,92,87,87
"2018/01/20","到て","SO2",2,1.9,1.7,2.3,2.3,3,2.9,3.8,2.9,4.5,4.1,3.7,3.2,3.3,3.1,2.5,2.5,2.1,2.2,2.3,2.2,2.8,2.5,2.6
"2018/01/21","到て","CO",0.66,0.68,0.68,0.6,0.64,0.63,0.66,0.68,0.62,0.62,0.61,0.59,0.58,0.54,0.46,0.46,0.36,0.36,0.39,0.41,0.37,0.4,0.34,0.34
"2018/01/21","到て","NOx",15,16,14,13,16,20,20,20,19,19,16,20,23,18,11,14,11,11,15,15,14,15,11,10
"2018/01/21","到て","O3",16,14,15,14,12,7.4,5.5,6.9,11,13,21,29,40,53,60,50,54,49,40,35,32,27,28,25
"2018/01/21","到て","PM10",88,99,100,103,108,114,115,111,110,102,94,91,105,109,98,87,76,81,80,84,71,57,56,67
"2018/01/21","到て","SO2",3.2,2.8,2.6,2.6,2.7,2.9,2.9,2.9,3.6,3.7,3.3,3.9,4.4,3.9,3.8,3.7,3.5,3.2,4.3,3.8,3.4,3.2,3.1,3.1
"2018/01/22","到て","CO",0.35,0.34,0.36,0.43,0.43,0.41,0.41,0.53,0.47,0.51,0.37,0.29,0.32,0.42,0.44,0.37,0.4,0.52,0.61,0.66,0.73,0.77,0.77,0.75
"2018/01/22","到て","NOx",10,10,12,11,11,10,13,23,25,21,17,13,11,14,18,18,15,18,18,19,23,23,26,21
"2018/01/22","到て","O3",23,21,20,19,18,15,9.9,5.8,8.1,13,22,29,39,43,40,38,43,45,46,41,31,23,18,21
"2018/01/22","到て","PM10",77,77,78,82,85,80,67,63,61,66,59,38,27,28,48,60,65,69,70,68,60,57,51,52
"2018/01/22","到て","SO2",2.8,2.4,2.2,2.1,2.1,1.9,2.2,2.7,3,3.1,3.4,3.2,2.9,3.8,4,3.8,2.9,2.7,2.8,3.6,4.3,4.9,5.1,5
"2018/01/23","到て","CO",0.73,0.61,0.56,0.52,0.51,0.48,0.51,0.58,0.59,0.56,0.53,0.52,0.51,0.46,0.39,0.28,0.27,0.29,0.33,0.36,0.44,0.44,0.42,0.41
"2018/01/23","到て","NOx",18,16,17,18,22,17,20,25,30,26,21,18,17,15,15,11,11,12,17,18,22,21,19,20
"2018/01/23","到て","O3",21,21,19,17,13,14,9.6,9.1,14,22,34,48,55,65,55,53,49,45,34,28,20,17,16,13
"2018/01/23","到て","PM10",46,44,41,42,42,46,44,47,42,45,60,79,86,84,78,88,81,83,77,74,69,62,71,70
"2018/01/23","到て","SO2",4.5,4,3.9,3.7,3.9,3.2,3.1,3.8,5.8,5.7,6.7,5.7,4.4,4.1,5.1,4,3.1,2.5,2.9,3.4,4.2,4.1,3.6,2.9
"2018/01/24","到て","CO",0.44,0.36,0.33,0.34,0.38,0.42,0.41,0.5,0.48,0.43,0.36,NA,NA,NA,0.44,NA,0.38,0.4,0.45,0.46,0.47,0.5,0.49,0.44
"2018/01/24","到て","NOx",22,18,16,19,22,28,29,37,38,27,17,NA,NA,NA,NA,NA,12,13,17,21,23,24,23,19
"2018/01/24","到て","O3",9.5,9.9,10,7.4,4.5,1.3,1.2,3.3,8.2,17,31,NA,NA,NA,NA,64,57,49,37,28,22,17,15,16
"2018/01/24","到て","PM10",73,63,56,57,54,51,34,43,53,61,61,56,59,63,NA,NA,100,93,89,90,83,73,63,63
