"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/21","キ马","PM10",24,23,24,25,28,26,27,23,25,23,20,19,13,17,16,25,29,32,32,37,41,49,54,54
"2018/01/21","キ马","SO2",2.3,2.5,2.7,3.1,4.8,5.5,3.6,3.6,2.9,3.9,2.9,2.3,2.6,2.5,2.5,3.3,4,4.3,4.3,4.9,3.5,2.6,2.3,2.4
"2018/01/22","キ马","CO",0.33,0.37,0.38,0.38,0.38,0.4,0.52,0.65,0.65,0.55,0.54,0.55,0.71,0.69,0.72,0.72,0.66,0.79,0.8,0.69,0.59,0.53,0.46,0.4
"2018/01/22","キ马","NOx",9.3,9.5,10,8.6,10,12,21,28,31,31,29,29,31,23,23,28,24,30,22,20,17,16,13,9.9
"2018/01/22","キ马","O3",39,34,31,32,30,25,21,20,20,22,25,30,28,42,49,40,39,35,42,41,41,41,43,45
"2018/01/22","キ马","PM10",40,30,36,43,46,45,55,58,63,56,57,43,43,41,40,43,37,49,42,42,35,33,45,44
"2018/01/22","キ马","SO2",2,0.8,1,0.3,1.4,1,0.6,0.6,2.4,2.1,1.4,1.1,1.3,1.4,1.5,1.1,1,0.7,0.7,1.8,2.2,2.5,1.5,1.1
"2018/01/23","キ马","CO",0.37,0.31,0.28,0.3,0.29,0.32,0.4,0.63,0.59,0.56,0.51,0.46,0.32,0.28,0.31,0.35,0.35,0.46,0.51,0.41,0.41,0.48,0.41,0.36
"2018/01/23","キ马","NOx",8.7,8,7.2,8.2,8.9,9.4,15,25,23,26,25,22,19,18,19,25,21,27,28,23,23,19,15,13
"2018/01/23","キ马","O3",44,45,47,45,45,44,39,33,36,37,40,44,44,43,41,34,37,32,30,34,33,37,41,42
"2018/01/23","キ马","PM10",44,36,39,42,46,41,42,37,38,39,40,37,43,39,48,44,51,46,43,47,45,40,35,39
"2018/01/23","キ马","SO2",0,1,1.2,1.1,1,1.3,1.4,1.6,2,1.6,1.5,1.4,2.7,2.6,1.9,2.1,1.3,1.9,2.2,1.9,2.5,1.3,1.1,2.8
"2018/01/24","キ马","CO",0.33,0.33,0.33,0.34,0.35,0.38,0.54,0.72,0.66,0.56,0.53,0.52,0.52,0.47,0.45,0.47,0.49,0.57,0.55,0.49,0.49,0.45,0.41,NA
