ค้ดม,ด๚ฏธ,ด๚ถต,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/1/28,จFณภ,SO2,1.5,1.4,1.2,1.3,1.4,1.2,1.2,1.3,1.5,1.5,1.3,1.3,1.3,1.2,1.2,1.1,1.2,1.1,1.2,1,1.1,1.1,1.3,1.1
2018/1/29,จFณภ,CO,0.19,0.2,0.2,0.21,0.22,0.22,0.25,0.31,0.34,0.35,0.36,0.38,0.38,0.37,0.41,0.45,0.51,0.54,0.55,0.59,0.61,0.58,0.55,0.51
2018/1/29,จFณภ,NOx,7.3,5.2,5.8,6.1,6.2,6.3,7.1,9.6,11,15,16,17,17,14,13,14,16,15,14,14,13,13,12,11
2018/1/29,จFณภ,O3,29,34,31,30,31,31,30,26,27,25,25,26,28,31,29,26,25,27,30,30,29,30,30,30
2018/1/29,จFณภ,PM10,13,13,14,11,12,14,12,18,21,13,12,14,17,21,23,21,22,22,19,15,12,17,20,17
2018/1/29,จFณภ,SO2,1.4,1.1,1,1,0.9,1,1,1.2,1.2,1.5,1.3,1.3,1.5,1.5,1.5,1.4,1.5,1.4,1.4,1.4,1.5,1.5,1.4,1.4
2018/1/30,จFณภ,CO,0.49,0.43,0.43,0.39,0.33,0.26,0.25,0.3,0.33,0.31,0.31,0.37,0.36,0.31,0.31,0.35,0.34,0.38,0.37,0.39,0.37,0.44,0.43,0.43
2018/1/30,จFณภ,NOx,11,7.5,7.1,6.8,6.3,6.3,7.2,12,16,14,16,20,19,18,18,24,23,24,23,25,23,24,24,25
2018/1/30,จFณภ,O3,32,33,34,33,32,37,34,29,27,29,27,24,25,28,25,20,19,14,12,11,12,8.5,8.2,4.5
2018/1/30,จFณภ,PM10,15,17,21,21,19,18,19,16,14,16,16,16,19,21,18,21,28,24,21,28,32,36,37,34
2018/1/30,จFณภ,SO2,1.7,1.2,1.1,1,1.1,1.3,1.1,1.3,1.3,1.7,1.8,1.8,1.9,2,1.9,2.1,2,2.1,2,2.2,2.4,2.4,2.4,2.1
2018/1/31,จFณภ,CO,0.42,0.41,0.34,0.3,0.31,0.33,0.36,0.45,0.47,0.38,0.35,0.38,0.36,0.34,0.32,NA,0.31,0.43,0.43,0.43,0.46,0.46,0.44,0.43
2018/1/31,จFณภ,NOx,26,21,16,11,13,13,17,19,23,19,16,17,15,NA,15,NA,9.1,12,12,10,9.6,9,9.3,9
2018/1/31,จFณภ,O3,3.8,6.2,15,19,9.8,13,8.2,12,18,25,31,35,39,32,NA,38,37,33,34,36,36,35,35,36
2018/1/31,จFณภ,PM10,30,30,33,27,18,20,24,21,20,24,27,30,30,NA,30,28,22,20,22,15,9,8,8,9
2018/1/31,จFณภ,SO2,1.7,2.2,2.2,1.9,2.1,1.5,1.5,1.4,2.1,2.2,2.1,2.2,2,1.8,1.8,NA,1.3,1.2,1.2,1,0.9,0.9,0.9,0.9
2018/2/1,จFณภ,CO,0.4,0.42,0.51,0.52,0.44,0.47,0.51,0.6,0.63,0.68,0.69,0.7,0.72,0.74,0.71,0.63,0.58,0.62,0.66,0.58,0.56,0.53,0.46,0.4
2018/2/1,จFณภ,NOx,8.1,6.8,8.7,9.8,7.7,7.4,9,13,14,17,18,18,19,20,19,19,22,23,26,18,15,14,11,10
2018/2/1,จFณภ,O3,38,37,32,31,36,35,31,27,27,26,26,28,28,29,31,27,22,18,15,23,26,28,31,32
2018/2/1,จFณภ,PM10,7,7,15,22,21,21,26,30,39,48,54,55,63,67,56,51,53,50,57,63,50,39,37,32
