"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/14","´I¶Q¨¤","SO2",0.2,1.9,1.9,0.8,0.5,0.5,0.3,0.4,0.3,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.2,0.3,0.7,1.4,1.9,1,0.8,0.9
"2018/01/15","´I¶Q¨¤","CO",0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.12,0.12
"2018/01/15","´I¶Q¨¤","NOx",2.3,2.1,2,2.4,2.6,2.9,4.1,4.5,4,3.2,1.4,1.9,3.2,6.3,2.9,2.6,4.7,5.3,2.9,7.2,12,11,8.2,8.4
"2018/01/15","´I¶Q¨¤","O3",42,39,38,37,35,34,34,32,31,37,43,45,45,41,47,48,44,41,43,35,30,31,33,31
"2018/01/15","´I¶Q¨¤","PM10",33,57,60,69,86,50,38,36,60,54,38,34,39,34,31,25,22,22,23,23,25,20,17,31
"2018/01/15","´I¶Q¨¤","SO2",2,1.4,0.8,1,0.9,1.2,1.3,0.6,0.5,0.9,0.5,0.4,0.6,0.9,0.8,0.8,0.5,0.5,0.5,1.2,6.5,8.6,6.1,4
"2018/01/16","´I¶Q¨¤","CO",0.11,0.18,0.36,0.47,0.49,0.35,0.22,0.18,0.18,0.18,0.23,0.25,0.16,0.14,0.13,0.14,0.15,0.16,0.16,0.17,0.18,0.23,0.2,0.2
"2018/01/16","´I¶Q¨¤","NOx",11,13,27,44,47,21,11,8.5,9.4,10,18,18,5.5,2.3,3.8,6.6,7.7,6.9,5.5,5.8,6.7,8.9,7.1,6.8
"2018/01/16","´I¶Q¨¤","O3",28,21,7.2,2.1,1.8,10,22,26,28,30,30,34,43,47,42,34,38,40,40,23,22,17,19,19
"2018/01/16","´I¶Q¨¤","PM10",28,30,45,57,50,29,33,34,35,43,55,53,33,29,32,41,47,54,51,50,31,62,39,53
"2018/01/16","´I¶Q¨¤","SO2",1.1,1.2,2.9,3.5,3.4,1.5,1.2,0.9,1.2,1.6,2.9,3,1.1,0.6,1,1.5,2,1.3,1,0.4,0.5,0.7,0.6,0.7
"2018/01/17","´I¶Q¨¤","CO",0.22,0.16,0.17,0.17,0.16,0.14,0.12,0.12,0.11,0.17,0.19,0.17,0.18,0.19,0.19,0.2,0.22,0.21,0.18,0.19,0.19,0.19,0.16,0.14
"2018/01/17","´I¶Q¨¤","NOx",8.3,6.6,4.8,6.9,5.9,3.9,6.5,5.4,5.4,5.4,5.4,NA,NA,NA,7.1,4,3,2.8,3.6,3.2,2,2,1.7,2.2
"2018/01/17","´I¶Q¨¤","O3",15,33,33,28,27,33,28,29,31,36,49,56,60,62,65,65,60,58,54,52,51,50,51,50
"2018/01/17","´I¶Q¨¤","PM10",40,35,39,42,44,36,30,33,29,NA,72,66,74,70,66,NA,45,42,43,52,51,34,34,31
"2018/01/17","´I¶Q¨¤","SO2",0.5,1.5,1.3,2,1.7,1.5,0.9,0.4,0.5,0.8,0.9,0.6,0.6,0.6,1.3,0.6,0.4,0.2,0.6,0.4,0.3,0.3,0.2,0.4
"2018/01/18","´I¶Q¨¤","CO",0.14,0.14,0.15,0.15,0.15,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.17,0.18,0.17
"2018/01/18","´I¶Q¨¤","NOx",1.9,1.6,1.6,1.8,2.2,2,1.7,1.5,2,1.9,2,2.6,2.6,2,2.5,2.2,2.5,2.5,3,1.8,1.4,1.8,1.2,4.5
"2018/01/18","´I¶Q¨¤","O3",50,49,48,47,46,47,51,52,50,50,49,48,47,49,49,50,49,48,48,51,51,52,53,48
"2018/01/18","´I¶Q¨¤","PM10",29,34,41,49,57,48,33,27,29,37,32,33,55,37,44,53,56,30,19,19,14,13,12,11
"2018/01/18","´I¶Q¨¤","SO2",0.4,0.2,0.3,0.2,0.4,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.4,0.2,0.1,0.1,0.1,0.3
"2018/01/19","´I¶Q¨¤","CO",0.18,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.19,0.19,0.19,0.2,0.21,0.21,0.22,0.22,0.24,0.25,0.26,0.27,0.27,0.27,0.28
"2018/01/19","´I¶Q¨¤","NOx",2,1.5,2.3,1.9,1.6,1.6,1.4,4.2,1.4,1.3,1.8,1.8,1.8,1.6,1.7,1.6,2.3,2.1,1.8,2,2.2,2,1.9,1.7
"2018/01/19","´I¶Q¨¤","O3",52,54,54,54,54,53,52,49,50,50,50,50,54,54,55,54,52,54,55,53,52,52,51,52
"2018/01/19","´I¶Q¨¤","PM10",16,24,26,27,33,27,20,20,14,16,35,57,48,52,59,55,54,58,57,49,53,52,52,56
"2018/01/19","´I¶Q¨¤","SO2",0.3,0.1,0.2,0.1,0.1,0.1,0,0.6,0.1,0,0.1,0.1,0.3,0.2,0.2,0.1,0.1,0.1,0,0.1,0.2,0.2,0.1,0.1
"2018/01/20","´I¶Q¨¤","CO",0.29,0.3,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.3,0.33,0.33,0.34,0.34,0.32,0.32,0.31,0.3,0.3,0.31,0.3,0.29,0.27
"2018/01/20","´I¶Q¨¤","NOx",3.7,1.8,1.9,1.9,2.4,2.1,1.8,1.7,2.5,2.4,2.4,2.9,2.9,2.8,3,2.4,2.4,2,2.1,2.3,1.8,2.3,2.3,2.6
"2018/01/20","´I¶Q¨¤","O3",51,51,56,57,57,57,56,56,54,54,55,56,55,56,55,55,57,58,57,57,58,57,56,53
"2018/01/20","´I¶Q¨¤","PM10",53,47,53,53,53,52,61,58,50,46,54,58,65,65,70,53,45,46,50,43,37,32,33,38
"2018/01/20","´I¶Q¨¤","SO2",0.6,0,0,0.1,0.1,0.1,0,0,0.1,0.2,0.1,0.4,0.3,0.2,0.2,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.3
"2018/01/21","´I¶Q¨¤","CO",0.26,0.25,0.24,0.23,0.22,0.22,0.22,0.23,0.24,0.24,0.24,0.23,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.23,0.22,0.22
"2018/01/21","´I¶Q¨¤","NOx",1.8,1.7,1.6,1.4,1.7,1.8,1.7,2,1.6,1.8,1.9,2.1,2.1,1.3,1.7,2.5,2.3,3.2,3.8,5.4,8.6,1.7,2.8,1.7
"2018/01/21","´I¶Q¨¤","O3",55,53,52,52,53,52,52,51,51,50,50,50,50,51,50,48,48,47,45,44,41,50,47,47
