"дщ┤┴","┤·п╕","┤·╢╡","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/15","оч╢щ","CO",0.4,0.35,0.42,0.36,0.43,0.47,0.57,0.86,1.35,0.56,0.5,0.44,0.32,0.28,0.29,0.34,0.46,0.61,0.74,0.8,0.92,1.24,1.43,1.14
"2018/01/15","оч╢щ","NOx",23,16,21,20,26,29,39,50,72,36,34,31,18,14,29,19,30,32,33,36,45,64,95,82
"2018/01/15","оч╢щ","O3",22,24,14,13,6.4,2.9,2,3.1,4.3,17,24,30,37,39,35,35,26,19,14,10,4.3,2,1.8,1.6
"2018/01/15","оч╢щ","PM10",21,23,23,21,17,20,15,19,24,33,33,31,24,19,19,21,29,34,34,41,35,39,51,67
"2018/01/15","оч╢щ","SO2",4.7,4.6,3,2.6,2.9,3.1,4.4,9.8,18,11,9.5,6.4,3.9,3.6,3.5,3.9,4.7,4.5,5.6,13,12,11,15,14
"2018/01/16","оч╢щ","CO",0.9,0.67,0.62,0.3,0.24,0.28,0.41,1.18,1.07,0.88,0.66,0.76,0.68,0.56,0.49,0.53,0.72,0.88,1.67,1.53,1.69,1.26,1.34,1.76
"2018/01/16","оч╢щ","NOx",54,38,37,16,11,12,25,74,68,57,37,44,53,51,47,54,72,82,113,101,107,85,88,100
"2018/01/16","оч╢щ","O3",1.6,1.6,1.7,16,22,19,9.4,3.4,10,16,31,38,27,22,15,10,3.8,1.8,1.8,1.8,1.8,1.7,1.8,1.7
"2018/01/16","оч╢щ","PM10",69,54,41,39,38,37,34,41,61,67,66,56,64,75,80,83,88,89,86,77,89,89,94,80
"2018/01/16","оч╢щ","SO2",6.5,6.8,5.4,3,2.1,1.6,3,6.4,11,5.6,4,4.5,5.8,5.2,7.1,9.7,12,13,11,13,17,13,16,15
"2018/01/17","оч╢щ","CO",1.65,0.83,0.6,0.4,0.39,0.39,0.31,0.44,0.47,0.4,0.68,0.45,0.44,0.35,0.31,0.32,0.36,0.49,0.51,0.51,0.5,0.46,0.39,0.33
"2018/01/17","оч╢щ","NOx",91,59,56,36,31,28,22,30,41,24,38,27,24,21,21,19,20,23,24,22,20,18,13,11
"2018/01/17","оч╢щ","O3",1.8,1.7,1.6,3.6,5.5,7.1,14,14,11,19,25,29,36,41,42,44,43,36,32,31,29,29,34,35
"2018/01/17","оч╢щ","PM10",80,67,72,65,70,71,75,63,44,38,49,54,50,45,45,51,54,57,64,56,58,47,43,36
"2018/01/17","оч╢щ","SO2",19,13,13,9.6,8.3,5.1,3.2,2,1.9,3.6,4.7,3,3.2,3.9,6.2,3.4,3.6,5.1,4.7,3.2,3.8,3,2.9,3.7
