"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/19","打","SO2",1.8,2.6,2.3,2.2,1.9,2.1,2.2,2.7,2.6,2.4,2.5,2.8,2.9,2.8,2.9,3.3,2.9,2.2,3.1,3.3,3.1,3.6,2.3,2.3
"2018/01/20","打","CO",0.34,0.35,0.36,0.37,0.38,0.36,0.37,0.42,0.44,0.42,0.4,0.42,0.41,0.41,0.43,0.44,0.45,0.46,0.45,0.41,0.4,0.39,0.41,0.41
"2018/01/20","打","NOx",3.8,7.5,3.7,2.5,2.8,2.9,3.8,9.2,13,9.3,9.8,9.1,8.8,6.7,6.8,5.6,7.1,8.5,6.9,5.1,4.3,5.3,8.1,8.3
"2018/01/20","打","O3",49,44,49,54,54,54,52,46,40,46,46,48,51,54,54,55,51,48,49,52,52,50,45,43
"2018/01/20","打","PM10",52,51,54,59,61,60,56,50,49,56,57,56,56,59,64,70,75,70,63,63,61,49,40,36
"2018/01/20","打","SO2",3.7,2.6,1.6,1.8,1.9,1.3,1.4,1.6,2.8,2.1,1.7,2.1,2.5,2.7,2.7,2,2.1,1.9,2,1.6,1.3,1.8,2.4,1.7
"2018/01/21","打","CO",0.4,0.4,0.38,0.35,0.31,0.3,0.31,0.32,0.36,0.41,0.41,0.42,0.36,0.32,0.34,0.36,0.37,0.39,0.42,0.37,0.32,0.31,0.31,0.31
"2018/01/21","打","NOx",7.5,7.7,7.6,7.7,5.8,5.2,6.4,8.8,11,11,10,11,9.6,6.9,7.5,9.4,12,12,14,12,8.1,7.4,5.2,4.7
"2018/01/21","打","O3",42,46,45,44,47,48,46,45,42,43,46,44,50,50,47,45,41,37,31,32,40,43,46,46
"2018/01/21","打","PM10",31,27,29,34,34,36,37,36,32,27,26,20,18,26,29,35,46,47,47,53,62,62,52,39
"2018/01/21","打","SO2",0.9,2.8,3.7,3.3,2.5,2.6,2.9,3.1,2.8,2.7,2.3,2.3,2.8,3,3.4,3.9,4.6,3.9,3.3,3.2,2.5,2.8,1.6,1.5
