"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/15","³Á¼d","NOx",6.5,7.2,7.1,11,19,21,26,35,30,17,10,10,8.5,9.2,7.5,11,10,11,11,8.4,8.5,9.7,8.5,6.8
"2018/01/15","³Á¼d","O3",31,30,25,11,1.5,2.6,3,4.3,11,25,33,36,38,43,45,44,41,38,35,33,31,27,29,30
"2018/01/15","³Á¼d","PM10",63,57,66,39,28,30,48,62,73,79,59,68,NA,70,72,NA,55,58,61,55,62,77,65,64
"2018/01/15","³Á¼d","SO2",1.9,1.8,1.5,1.2,1.2,1.5,1.6,1.9,2.5,2.8,2.7,2.6,2,2.3,2.1,2,1.9,1.7,1.6,1.7,1.8,2,2,1.7
"2018/01/16","³Á¼d","CO",0.15,0.17,0.18,0.18,0.22,0.26,0.27,0.32,0.29,0.38,0.38,0.27,0.24,0.22,0.22,0.24,0.27,0.3,0.26,0.28,0.29,0.47,0.48,0.55
"2018/01/16","³Á¼d","NOx",7,5,5.2,7.9,8.7,11,11,15,15,25,21,13,8.5,7.6,9.8,10,12,15,12,12,17,28,31,35
"2018/01/16","³Á¼d","O3",27,26,24,17,19,14,17,17,17,17,22,30,35,37,37,39,38,34,34,29,19,7,4.1,2.6
"2018/01/16","³Á¼d","PM10",58,63,54,52,51,65,65,64,74,84,84,70,60,60,66,58,78,70,75,68,79,98,105,106
"2018/01/16","³Á¼d","SO2",1.3,1,1,0.7,1,1.2,1.1,1.3,1.8,3.5,4.7,4.1,2.2,1.7,1.9,1.7,1.7,1.9,1.9,1.6,2.1,2.8,3.1,3
"2018/01/17","³Á¼d","CO",0.54,0.44,0.31,0.32,0.33,0.26,0.41,0.89,0.32,0.31,0.29,0.28,0.24,0.23,0.18,0.21,0.29,0.36,0.39,0.35,0.29,0.26,0.24,0.23
"2018/01/17","³Á¼d","NOx",35,28,17,16,20,14,20,44,20,25,15,16,14,9.7,6.9,6.6,7.1,12,10,7,5.5,6.6,4.5,5
"2018/01/17","³Á¼d","O3",4.1,3.8,12,12,12,19,11,4.2,15,19,26,29,35,43,47,49,63,50,52,53,47,42,43,39
"2018/01/17","³Á¼d","PM10",98,88,61,59,81,75,90,109,79,96,111,106,95,80,69,87,117,117,98,90,82,74,76,70
"2018/01/17","³Á¼d","SO2",3.2,2.5,2.2,2,3,3.4,3.4,5.9,4.6,5.1,4.8,4.1,3.4,2.7,2.5,2.2,1.9,2.2,2.2,1.9,2,2.5,2,2.2
"2018/01/18","³Á¼d","CO",0.22,0.24,0.23,0.22,0.2,0.19,0.24,0.28,0.27,0.29,0.28,0.26,0.26,0.26,0.25,0.25,0.25,0.27,0.25,0.24,0.24,0.24,0.24,0.24
"2018/01/18","³Á¼d","NOx",4.8,7.5,5.4,5.8,5.6,5.9,6.5,8.8,9.6,8.5,8.7,8.2,8,7.9,9.4,11,7.2,7.9,7.7,6.2,6.5,6.7,6.4,6.7
"2018/01/18","³Á¼d","O3",38,38,40,38,38,41,39,37,37,40,43,46,50,53,50,48,47,45,45,46,45,43,41,40
"2018/01/18","³Á¼d","PM10",72,67,55,57,55,49,58,74,80,84,73,79,87,86,76,65,62,65,64,74,75,57,53,52
"2018/01/18","³Á¼d","SO2",2.3,1.8,1.5,1.4,1.7,1.7,1.7,1.8,2.1,2,2,1.9,1.6,1.7,2.1,1.7,1.4,1.5,1.7,1.3,1.3,1.3,1.4,1.3
"2018/01/19","³Á¼d","CO",0.24,0.25,0.26,0.26,0.26,0.26,0.28,0.3,0.3,0.43,0.41,0.39,0.33,0.3,0.28,0.29,0.33,0.35,0.32,0.33,0.32,0.3,0.31,0.31
"2018/01/19","³Á¼d","NOx",5.6,5.2,5.9,5.2,6.5,6.4,7.7,8.9,9.6,18,18,17,13,11,8.8,9.2,10,13,12,13,7.6,6.9,5.9,5.3
"2018/01/19","³Á¼d","O3",41,40,38,40,40,41,39,38,36,30,31,34,40,42,45,43,40,36,35,30,37,38,41,43
"2018/01/19","³Á¼d","PM10",53,52,42,34,30,33,24,28,36,45,51,46,42,53,58,52,63,62,58,60,58,58,70,66
"2018/01/19","³Á¼d","SO2",0.9,1.7,1.7,1.8,1.9,2.1,1.9,1.9,2.4,4.3,4.2,4.3,2.6,2.5,2.1,2.1,2.3,2.2,2.1,2.6,2,1.9,2,1.8
"2018/01/20","³Á¼d","CO",0.32,0.33,0.33,0.32,0.32,0.45,0.55,0.64,0.51,0.49,0.45,0.35,0.34,0.36,0.37,0.39,0.41,0.44,0.42,0.4,0.38,0.37,0.36,0.4
"2018/01/20","³Á¼d","NOx",5.3,7.5,8,6.2,5.2,8.5,9.1,17,18,15,13,7.3,5.6,7.2,8.1,7.5,8.4,8.4,6.8,6,5.1,5.1,5.1,6.7
"2018/01/20","³Á¼d","O3",42,36,34,37,38,33,31,23,26,31,34,47,54,55,55,56,54,52,51,50,49,48,44,38
"2018/01/20","³Á¼d","PM10",70,65,74,74,77,78,83,91,97,89,78,85,82,109,107,98,101,97,84,88,84,89,87,72
"2018/01/20","³Á¼d","SO2",2.2,1.7,1.9,1.4,1.3,2.2,1.9,3,3.6,3.7,3.6,2,1.7,1.9,1.9,1.6,1.5,1.4,1.4,1.3,1.2,1.3,1.1,1.5
"2018/01/21","³Á¼d","CO",0.38,0.41,0.39,0.36,0.34,0.32,0.33,0.33,0.43,0.48,0.44,0.43,0.42,0.38,0.33,0.31,0.31,0.32,0.32,0.32,0.31,0.3,0.3,0.3
"2018/01/21","³Á¼d","NOx",6.9,5.9,4.7,4,3.6,4.2,4.1,5,14,11,8.8,10,9.8,12,6.1,5.4,4.3,4.9,5,5.4,4.5,4.7,4.1,4
"2018/01/21","³Á¼d","O3",36,35,40,42,43,43,40,39,29,31,35,38,47,53,56,53,51,49,46,44,44,42,43,43
"2018/01/21","³Á¼d","PM10",64,66,65,57,55,67,59,63,76,81,84,85,92,74,68,68,67,52,60,62,73,66,74,84
"2018/01/21","³Á¼d","SO2",1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.5,2.5,1.8,1.4,1.9,2.6,4.7,2,1.3,1.4,1.5,1.2,1.5,1.2,1.1,1.1,1.1
"2018/01/22","³Á¼d","CO",0.31,0.3,0.31,0.35,0.51,0.42,0.44,0.45,0.46,0.49,0.45,0.36,0.33,0.35,0.35,0.5,0.56,0.59,0.55,0.51,0.5,0.49,0.49,0.5
"2018/01/22","³Á¼d","NOx",4.5,4.9,6.2,8.4,10,9.2,11,12,19,24,18,8.7,9.1,8.5,8.5,8.7,9.5,12,11,11,10,11,11,11
"2018/01/22","³Á¼d","O3",42,43,38,29,25,24,24,23,19,21,31,40,46,50,54,62,66,57,48,45,43,42,41,39
"2018/01/22","³Á¼d","PM10",83,67,80,96,102,74,71,72,80,74,85,89,97,83,82,89,68,70,59,59,48,45,64,52
"2018/01/22","³Á¼d","SO2",1.3,1.3,1.4,1.6,1.3,1.4,1.8,1.8,2.7,4.5,4.2,1.9,1.6,1.4,1.5,1.5,1.5,2.1,1.8,1.8,1.6,1.8,2.8,2.9
"2018/01/23","³Á¼d","CO",0.42,0.4,0.63,0.37,0.3,0.28,0.32,0.35,0.28,0.25,0.26,0.23,0.2,0.2,0.19,0.22,0.21,0.21,0.2,0.22,0.25,0.38,0.42,0.43
"2018/01/23","³Á¼d","NOx",9.3,10,15,8.5,7,6.7,10,13,NA,8.3,9.3,8.4,6.3,6.6,6.5,7.6,6.7,7.5,7.4,8.6,10,21,24,22
"2018/01/23","³Á¼d","O3",38,34,27,35,35,37,33,32,37,42,45,49,52,53,53,53,51,49,46,42,38,24,20,20
"2018/01/23","³Á¼d","PM10",48,50,52,52,49,45,50,57,46,48,54,53,66,96,114,122,89,67,52,50,69,76,70,81
"2018/01/23","³Á¼d","SO2",2.4,3.3,4.5,3,2.4,2.3,2.6,2.5,2.7,2.7,2.8,2.8,2.4,2.2,2.1,2.2,1.9,2,2,2.5,3.2,5.6,5.3,4.8
"2018/01/24","³Á¼d","CO",0.45,0.32,0.29,0.27,0.39,0.52,0.59,0.7,0.35,0.38,0.4,0.43,NA,0.35,0.34,0.33,0.33,0.34,0.33,0.35,0.36,0.35,0.34,0.33
"2018/01/24","³Á¼d","NOx",19,11,8.8,6.6,14,14,14,25,10,8.9,10,11,NA,5.8,5.8,5.6,5.6,7.3,8.8,9.9,9.6,8.7,7.2,7.1
"2018/01/24","³Á¼d","O3",22,28,31,36,27,27,27,20,38,42,45,NA,58,58,57,53,50,45,40,35,33,32,33,34
"2018/01/24","³Á¼d","PM10",79,65,62,58,55,48,47,63,64,75,89,NA,122,118,113,117,104,67,66,61,45,46,42,38
"2018/01/24","³Á¼d","SO2",4.8,3,2.8,2.8,4.2,3.8,3.4,4.8,3.5,2.8,2.9,2.6,NA,2,1.9,1.9,1.9,2,2.2,2.1,2,2,1.9,2
"2018/01/25","³Á¼d","CO",0.29,0.28,0.29,0.4,0.34,0.26,0.27,0.28,0.25,0.24,0.26,0.26,0.24,0.22,0.21,0.2,0.21,0.24,0.2,0.21,0.22,0.23,0.3,0.25
"2018/01/25","³Á¼d","NOx",6,7,7.4,11,9.7,7.2,6.7,8.1,7.9,8.6,9.7,9.4,7.3,6.2,6.1,5.9,5.4,6.4,5.5,6.2,8.3,9.4,13,8.6
"2018/01/25","³Á¼d","O3",36,36,33,26,27,32,35,34,37,38,40,44,49,50,48,46,44,41,40,37,33,30,25,30
"2018/01/25","³Á¼d","PM10",43,47,42,45,42,39,37,32,44,36,40,58,65,64,77,76,60,47,44,36,51,39,54,54
"2018/01/25","³Á¼d","SO2",2.3,2,2.1,2.8,2,1.8,1.8,2,2.3,2.5,2.6,2.3,2.2,1.7,1.8,1.6,1.6,1.7,1.6,1.8,2.5,2.6,3.3,2.3
"2018/01/26","³Á¼d","CO",NA,0.19,0.18,0.17,0.16,0.17,0.17,0.18,0.16,NA,0.18,0.16,0.17,0.16,0.16,0.15,0.16,0.19,0.18,0.2,0.21,0.21,0.2,0.2
"2018/01/26","³Á¼d","NOx",NA,4.4,4.2,3.4,3.7,3.1,3.6,4.9,4.8,NA,4.5,5.1,5.1,5.1,4.6,3.7,5,6.4,6,6.1,6.2,6.2,5.8,6.5
"2018/01/26","³Á¼d","O3",31,34,35,36,36,36,36,35,35,20,35,37,39,41,43,39,38,35,33,31,30,30,30,30
"2018/01/26","³Á¼d","PM10",52,34,34,36,38,35,39,34,43,NA,82,95,84,69,85,NA,59,47,34,34,33,37,27,29
"2018/01/26","³Á¼d","SO2",NA,1.7,1.5,1.5,1.5,1.3,1.3,1.3,1.2,NA,1.4,1.4,1.4,1.5,1.5,0.8,1.4,1.3,1.4,1.4,1.5,1.6,1.5,1.8
"2018/01/27","³Á¼d","CO",0.19,0.18,0.18,0.19,0.17,0.18,0.23,0.21,0.24,0.26,0.26,0.3,0.29,0.21,0.19,0.16,0.16,0.17,0.17,0.16,0.16,0.18,0.2,0.19
"2018/01/27","³Á¼d","NOx",5.9,5.9,5.8,6.6,5.9,6.1,9.3,9.3,13,14,14,16,15,8,5.7,5,4.4,5.5,5.6,5.6,5.8,6,6.8,5.1
"2018/01/27","³Á¼d","O3",31,31,31,30,32,31,27,28,26,27,30,30,33,42,44,42,40,36,36,34,33,32,31,31
"2018/01/27","³Á¼d","PM10",31,36,32,32,32,25,36,37,37,42,48,58,64,49,49,72,41,56,51,43,45,48,53,52
"2018/01/27","³Á¼d","SO2",1.9,1.8,1.8,2.2,1.9,2.1,2.7,2.6,3.8,4.3,4,4.2,4.1,2.3,1.8,1.8,1.3,1.2,1.3,1.5,1.3,1.4,1.3,1.3
"2018/01/28","³Á¼d","CO",0.17,0.18,0.2,0.28,0.32,0.23,0.2,0.26,0.41,0.33,0.28,0.22,0.23,0.19,0.19,0.2,0.22,0.22,0.41,0.39,0.36,0.43,0.37,0.25
"2018/01/28","³Á¼d","NOx",4.9,5.5,5.5,8,7.9,6.4,6.2,9.4,15,12,11,7.8,9.2,5.6,5.2,7.5,8.2,11,25,29,24,24,18,9
"2018/01/28","³Á¼d","O3",28,25,22,19,18,22,20,17,13,18,21,25,26,32,32,29,28,24,8.2,5.8,8.8,7.7,14,22
"2018/01/28","³Á¼d","PM10",52,54,61,67,84,55,33,59,95,74,55,40,52,42,36,33,35,35,27,25,37,31,47,30
"2018/01/28","³Á¼d","SO2",1.1,1.7,1.6,1.6,1.7,1.9,1.7,1.7,2.3,2.3,2.7,2.2,2.7,1.7,1.5,1.5,1.5,1.7,3.3,4.8,4.8,4.9,4,2.5
"2018/01/29","³Á¼d","CO",0.24,0.17,0.27,0.18,0.2,0.29,0.21,0.22,0.29,0.4,0.36,0.39,0.36,0.31,0.38,0.48,0.44,0.51,0.62,0.64,0.56,0.51,0.63,0.65
"2018/01/29","³Á¼d","NOx",8.4,4,8.3,4.4,4.9,11,5.8,6.1,8.3,16,16,19,15,7.8,12,17,13,14,17,15,12,7.6,13,12
"2018/01/29","³Á¼d","O3",25,31,25,29,29,22,28,28,26,24,24,22,NA,34,30,23,26,24,23,25,28,32,25,24
"2018/01/29","³Á¼d","PM10",40,41,36,30,31,27,28,32,33,41,30,31,NA,45,49,42,34,33,34,31,25,34,32,31
"2018/01/29","³Á¼d","SO2",2.7,1.6,2.5,1.8,2.2,3.7,1.9,1.6,2.2,4.3,4.1,4.5,3.1,1.8,3.1,4.3,2.5,3,4.1,3.7,2.9,1.7,2.7,2.7
"2018/01/30","³Á¼d","CO",0.54,0.61,0.61,0.56,0.46,0.28,0.33,0.26,0.28,0.33,0.28,0.27,0.28,0.26,0.27,0.27,0.36,0.33,0.26,0.26,0.24,0.26,0.28,0.35
