"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"2018/01/19","大里","SO2",2.7,1.9,1.9,1.4,1.5,1.4,1.5,0.1,-0.1,-0.1,-0.1,-0.1,-0.1,NA,NA,NA,2.3,2,1.8,1.9,3.5,3,2.6,2.4
"2018/01/20","大里","CO",0.59,0.57,0.5,0.42,0.39,0.42,0.52,0.67,0.73,0.85,0.63,0.6,0.55,0.51,0.5,0.54,0.61,0.77,0.81,0.81,0.68,0.66,0.68,0.75
"2018/01/20","大里","NOx",39,42,35,22,16,19,26,35,38,45,32,35,26,20,18,26,31,33,36,35,28,26,29,33
"2018/01/20","大里","O3",1.4,0.5,1.1,9.5,16,11,4.2,3.6,9.4,13,28,37,54,66,63,52,45,35,24,20,22,20,14,8.4
"2018/01/20","大里","PM10",61,56,50,43,47,48,57,62,67,70,74,82,93,95,97,96,98,100,102,103,105,105,106,98
"2018/01/20","大里","SO2",2.8,2.4,2.2,1.8,1.5,1.6,2.2,2.1,2.2,2.3,1.9,2.1,2.1,2.1,1.9,1.9,2,2,2.3,2.6,2.3,2.1,2.2,2.7
"2018/01/21","大里","CO",0.73,0.72,0.69,0.63,0.54,0.5,0.53,0.54,0.66,0.73,0.68,0.59,0.57,0.58,0.52,0.53,0.59,0.65,0.64,0.72,NA,NA,NA,NA
"2018/01/21","大里","NOx",32,30,27,24,18,15,20,21,25,29,29,22,19,24,18,19,25,30,29,31,NA,NA,NA,NA
"2018/01/21","大里","O3",7.2,6,4.9,6.1,12,13,10,12,13,17,23,39,48,51,59,60,48,36,32,25,NA,NA,NA,NA
"2018/01/21","大里","PM10",92,83,89,86,84,66,62,52,50,41,51,54,63,64,77,81,90,92,87,82,NA,NA,NA,NA
"2018/01/21","大里","SO2",2,1.4,2.1,1.9,1.6,1.6,1.9,2,2.1,2.1,1.9,2,1.8,4.9,3.7,2.6,2.8,2.5,1.7,1.7,NA,NA,NA,NA
"2018/01/22","大里","CO",NA,0.35,0.34,0.34,0.42,0.43,0.53,0.71,0.99,1.14,1.1,NA,0.67,0.62,0.53,0.56,0.73,0.81,0.86,0.81,0.73,0.68,0.71,0.62
"2018/01/22","大里","NOx",NA,10,9.8,11,14,17,31,38,54,65,59,NA,NA,NA,25,21,28,32,33,30,24,22,25,21
"2018/01/22","大里","O3",23,30,31,26,19,13,5.8,4.8,5.5,7.9,NA,25,38,45,40,46,42,27,22,22,24,24,20,23
