"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/16","获","SO2",3,3.5,3.4,4.3,4.6,4.9,4.3,5.3,7.8,7.1,5.9,5.1,5.3,4.9,4,4.3,4.7,5.3,6,6.7,7.3,7.4,5.6,5.2
"2018/01/17","获","CO",0.51,0.66,0.62,0.45,0.39,0.47,0.56,0.94,0.86,0.5,0.57,0.45,0.7,0.64,0.79,0.63,0.76,0.99,1.05,1.02,0.95,0.86,0.76,0.69
"2018/01/17","获","NOx",28,37,40,24,17,19,24,35,46,33,29,24,40,NA,46,NA,43,40,38,40,40,41,37,33
"2018/01/17","获","O3",7.6,3,3.4,9.1,13,11,10,7.3,7.7,15,19,23,NA,NA,26,NA,26,27,20,20,15,9,5.4,3.6
"2018/01/17","获","PM10",73,77,75,70,60,54,43,42,43,58,68,64,NA,NA,61,69,80,91,77,76,76,99,106,106
"2018/01/17","获","SO2",5.1,4.1,4.5,3.2,2.9,2.2,2.4,3.5,5.6,4.1,3.6,3,4.1,4.8,6,4.6,4.7,3.6,2.5,2.6,3.4,4.9,4,3.1
"2018/01/18","获","CO",0.68,0.86,0.79,0.76,0.8,0.95,1.21,1.25,1.33,1.1,0.82,0.72,1.12,1.07,0.72,0.6,0.79,1.16,1.25,1.5,1.26,0.92,0.76,0.58
"2018/01/18","获","NOx",31,39,42,38,35,42,50,57,78,67,47,35,57,55,37,26,35,48,49,58,60,51,45,32
"2018/01/18","获","O3",3.4,2,1.9,1.7,1.6,1.6,1.5,2.4,3.9,14,35,49,48,62,51,48,44,26,23,18,4,3.1,3.8,7
"2018/01/18","获","PM10",106,108,117,114,116,113,119,135,151,169,174,178,123,137,187,155,116,105,108,123,134,146,145,129
"2018/01/18","获","SO2",2.9,3.2,5.1,4,3.6,3.7,3.4,9.2,8.7,9.3,8.6,6.6,8.7,9.8,8.2,5.4,6.7,4.7,4.6,4.8,4.8,5.3,5.6,5.2
"2018/01/19","获","CO",0.59,0.56,0.55,0.52,0.53,0.58,0.64,0.9,1.17,1.02,1.23,1.01,0.69,0.57,0.52,0.6,0.88,1.1,1.4,0.93,1.09,1.27,1.2,0.96
"2018/01/19","获","NOx",36,38,36,30,31,29,33,34,62,70,70,39,23,22,15,18,32,39,53,39,53,63,55,43
"2018/01/19","获","O3",2.3,1.5,1.7,1.7,1.4,1.9,1.6,2.9,2.9,5.4,20,48,59,53,52,60,39,25,15,21,7.1,3.6,5.2,8.5
"2018/01/19","获","PM10",117,105,98,93,89,91,96,104,116,120,135,144,137,114,92,88,88,88,88,80,91,93,103,98
"2018/01/19","获","SO2",6.1,5.6,5,3.8,4.1,3.1,3.2,2.5,4.7,6.6,7.2,11,6.6,4.6,3,3.7,2.4,2.4,3,4.4,2.9,4.4,3.5,2.6
"2018/01/20","获","CO",0.93,0.9,0.93,0.8,0.61,0.51,0.54,0.77,0.84,0.92,1.05,1.03,0.79,0.53,0.49,0.53,0.58,0.73,0.72,0.78,0.84,0.94,0.76,0.72
"2018/01/20","获","NOx",38,45,46,42,32,27,32,38,48,50,43,35,27,17,14,15,16,19,19,21,34,40,34,35
"2018/01/20","获","O3",6.9,1.8,1.4,1.4,2.1,3.3,2.1,3.4,7,16,36,48,54,46,47,50,56,51,47,41,24,12,14,11
