"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/19","窾地","SO2",2,1.3,1,1,0.6,0.7,0.7,0.8,1.1,1.6,2,1.8,1.9,2,1.7,1.8,1.8,2.3,2.2,3.5,4.6,4.3,2.8,3.6
"2018/01/20","窾地","CO",0.42,0.41,0.4,0.38,0.39,0.39,0.41,0.45,0.51,0.51,0.51,0.51,0.49,0.49,0.5,0.52,0.54,0.57,0.58,0.53,0.51,0.53,0.54,0.47
"2018/01/20","窾地","NOx",19,10,8,7.5,6.8,7.5,14,18,27,26,28,26,21,22,24,26,28,29,30,25,24,23,22,16
"2018/01/20","窾地","O3",30,36,39,41,44,46,42,38,29,30,31,35,40,38,36,34,30,28,26,30,32,32,33,39
"2018/01/20","窾地","PM10",36,22,20,NA,72,79,112,56,47,32,39,44,41,44,49,53,49,39,30,29,35,35,31,20
"2018/01/20","窾地","SO2",3.5,1.9,2.1,1.6,1.3,1,1,1.3,3.3,2.2,3.9,2.2,2.2,4.3,4.9,7,6.1,4.8,5.6,2.9,4.3,4.6,4.9,2.7
"2018/01/21","窾地","CO",0.47,0.41,0.38,0.35,0.32,0.3,0.32,0.35,0.41,0.46,0.43,0.46,0.42,NA,0.39,0.39,0.42,0.48,0.5,0.63,0.86,1.23,1.37,0.64
"2018/01/21","窾地","NOx",13,10,10,10,8.9,7.4,11,15,19,27,22,24,21,NA,20,24,27,30,32,41,52,55,59,27
"2018/01/21","窾地","O3",40,43,42,40,42,45,42,38,32,25,33,31,35,NA,32,27,25,21,18,11,3.8,1.8,2.8,13
"2018/01/21","窾地","PM10",21,28,36,37,27,17,5,2,6,8,13,8,16,13,20,25,30,28,26,24,29,26,34,31
"2018/01/21","窾地","SO2",2.3,3.1,3.9,4.2,3.4,1.6,1.3,0.9,1.4,4.3,1.9,1.5,1.5,NA,2.5,5.6,5,4.7,5.8,6.1,5.2,4.4,4.6,3.9
"2018/01/22","窾地","CO",0.55,0.36,0.38,0.37,0.37,0.39,0.49,0.67,0.8,0.75,0.67,0.58,0.64,0.65,0.71,0.66,0.66,0.7,0.7,0.59,0.55,0.54,0.47,0.41
"2018/01/22","窾地","NOx",22,9.7,8.3,8.5,11,11,20,24,29,37,42,27,24,20,25,24,29,30,29,27,27,27,22,NA
"2018/01/22","窾地","O3",22,33,34,33,25,27,20,18,24,17,14,24,28,42,45,39,34,34,33,32,30,28,32,35
"2018/01/22","窾地","PM10",32,26,29,27,39,39,44,47,48,48,33,35,30,25,19,22,30,31,24,23,24,28,27,27
"2018/01/22","窾地","SO2",1.6,2.2,1.8,1.7,2.2,1.6,1.6,1.3,1.6,1.8,2.1,1.7,1.7,1.5,1.2,1.1,1.1,1.2,1.5,2.7,3.1,3.5,1.9,1.3
"2018/01/23","窾地","CO",0.35,0.32,0.26,0.25,0.25,0.26,0.3,0.47,0.57,0.4,0.36,0.34,0.33,0.32,0.37,0.36,0.38,0.44,0.52,0.46,0.42,0.42,0.38,0.34
"2018/01/23","窾地","NOx",13,11,8.1,8.1,8,9.7,20,36,44,30,26,23,22,21,28,29,31,29,32,27,25,22,16,14
"2018/01/23","窾地","O3",38,39,44,44,43,39,30,18,19,30,34,36,38,38,32,30,26,27,27,30,31,34,39,38
"2018/01/23","窾地","PM10",27,21,24,22,28,24,20,26,28,37,34,38,36,36,34,25,26,29,39,39,33,31,30,37
"2018/01/23","窾地","SO2",3,2.1,1.6,1.7,1.7,1.8,2.1,3.1,2.4,2,2.1,4.3,5.9,6.3,5.9,9,8.4,2.3,2.6,1.9,1.8,1.8,1.9,2.4
"2018/01/24","窾地","CO",0.31,0.32,0.32,0.32,0.34,0.38,0.43,0.57,0.69,0.63,0.54,NA,0.45,0.45,0.47,0.5,0.47,0.54,0.55,0.5,0.49,0.5,0.45,0.35
"2018/01/24","窾地","NOx",11,10,11,8.6,9.7,9.8,16,29,41,41,35,NA,23,24,31,36,30,33,29,27,27,26,20,13
"2018/01/24","窾地","O3",46,45,43,46,44,42,36,25,21,23,NA,NA,NA,35,28,23,26,22,24,26,25,25,30,37
"2018/01/24","窾地","PM10",36,41,39,44,40,41,45,49,59,61,58,NA,NA,61,57,53,47,46,45,44,41,34,33,31
"2018/01/24","窾地","SO2",3.8,2,4.1,3.4,2.5,2.3,1.5,1.9,3,2.6,2.3,NA,NA,1.7,2,2.1,1.9,1.9,2,1.9,2.1,2.5,2,1.8
"2018/01/25","窾地","CO",0.32,0.28,0.27,0.26,0.24,0.25,0.29,0.41,0.55,0.48,0.38,0.34,0.34,0.33,0.36,0.38,0.41,0.49,0.59,0.61,0.46,0.42,0.37,0.3
"2018/01/25","窾地","NOx",9.7,7.6,6.3,9.5,8.2,9.5,18,26,36,35,28,23,21,21,26,28,33,36,40,44,33,25,21,15
"2018/01/25","窾地","O3",40,41,41,39,37,39,32,25,20,23,28,31,33,32,27,24,19,16,13,8.2,14,20,25,29
"2018/01/25","窾地","PM10",25,19,13,18,23,17,21,11,13,6,11,12,7,14,22,27,31,35,35,35,34,25,15,9
"2018/01/25","窾地","SO2",1.9,1.4,1.4,1.4,1.3,1.2,1.4,1.4,1.9,1.9,1.8,1.7,1.6,1.7,1.7,1.8,2.1,2,2.9,3.5,4.1,3.2,2.2,2.1
"2018/01/26","窾地","CO",0.27,0.22,0.2,0.19,0.2,0.2,0.25,0.36,0.42,0.35,0.3,0.28,0.25,0.27,0.28,0.32,0.34,0.4,0.45,0.4,0.34,0.35,0.33,0.28
"2018/01/26","窾地","NOx",12,8.8,8.2,7,8.4,8.1,18,26,28,27,23,20,16,19,17,23,24,29,33,30,24,27,22,18
"2018/01/26","窾地","O3",32,34,35,36,34,35,26,20,20,23,26,29,33,30,30,25,23,18,15,17,20,20,23,23
"2018/01/26","窾地","PM10",13,15,16,18,20,19,19,14,10,5,2,7,7,7,5,13,17,12,10,13,14,9,4,8
"2018/01/26","窾地","SO2",1.8,2.8,3.7,3.4,5.1,3.5,2.5,2,2.3,2.3,2.3,2.2,2.2,2.5,2.1,2.2,2.3,4.7,5.7,3.8,3.6,3.5,4.1,4
"2018/01/27","窾地","CO",0.24,0.21,0.21,0.19,0.18,0.19,0.22,0.28,0.32,0.31,0.3,0.28,0.28,0.3,0.32,0.35,0.35,0.41,0.54,0.55,0.51,0.66,0.85,1.1
"2018/01/27","窾地","NOx",11,8.8,7.6,7.2,6.3,6.6,12,19,23,23,22,19,19,19,24,28,28,29,41,44,41,53,56,60
"2018/01/27","窾地","O3",32,33,34,34,35,36,31,26,24,25,27,30,31,29,24,21,19,16,8.1,7.1,8.5,3.5,1.9,0.8
"2018/01/27","窾地","PM10",10,13,14,17,15,17,13,16,9,14,16,18,18,15,16,14,18,22,25,24,20,12,6,8
"2018/01/27","窾地","SO2",2.7,3.5,2.6,2.7,2,2,1.9,2,2.2,2.1,2.2,2.1,2.1,2,2.2,2.4,3,2.8,2.8,3.2,3.1,4,3.9,4.3
"2018/01/28","窾地","CO",1.06,0.81,0.76,0.94,0.73,0.65,0.51,0.37,0.39,0.4,0.41,0.47,0.57,0.58,0.57,0.5,0.46,0.52,0.46,0.4,0.37,0.34,0.4,0.28
"2018/01/28","窾地","NOx",56,45,44,57,44,36,29,20,20,20,20,25,33,39,45,35,36,35,41,38,34,27,34,19
"2018/01/28","窾地","O3",0.5,0.5,0.5,0.4,NA,3.6,7.8,12,14,15,16,13,8.3,6.3,4.8,8.1,8.8,8.3,8.1,7.5,9.2,15,12,24
"2018/01/28","窾地","PM10",18,19,18,11,26,39,40,33,16,18,15,21,16,10,9,11,14,8,14,17,27,25,18,7
"2018/01/28","窾地","SO2",4.9,3.7,4,5.1,4.8,4.8,3.4,1.8,1.3,1.1,0.8,0.5,0.6,0.7,0.9,0.7,0.7,0.5,0.7,0.5,0.5,0.3,0.1,0.1
"2018/01/29","窾地","CO",0.24,0.23,0.2,0.2,0.22,0.23,0.31,0.44,0.57,0.53,0.49,0.47,0.5,0.52,0.55,0.6,0.67,0.77,0.82,0.7,0.6,0.58,0.56,0.52
"2018/01/29","窾地","NOx",11,9.3,7.2,6.7,7.3,7.8,20,30,37,40,37,28,31,29,30,37,38,38,42,34,29,26,23,17
"2018/01/29","窾地","O3",30,30,32,31,30,30,20,14,12,13,15,17,21,19,18,14,NA,15,13,19,22,23,25,30
"2018/01/29","窾地","PM10",NA,2,6,6,4,6,11,19,15,14,10,15,10,18,16,17,7,12,20,34,33,35,25,23
"2018/01/29","窾地","SO2",0.4,1.5,1.2,1.2,1.1,1.3,1.2,1.2,1.5,1.6,1.8,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.8,2.1,2.1,1.8,1.6,1.6
"2018/01/30","窾地","CO",0.46,0.31,0.27,0.24,0.23,0.24,0.28,0.36,0.51,0.45,0.4,0.38,0.39,0.37,0.39,0.38,0.43,0.54,0.58,0.49,0.42,0.44,0.43,0.4
"2018/01/30","窾地","NOx",11,7.2,7.6,6.2,7.9,11,20,30,44,45,38,37,37,34,35,35,41,46,44,38,30,30,25,21
"2018/01/30","窾地","O3",35,38,37,39,37,34,26,20,12,14,18,17,16,19,18,17,13,9.8,10,13,19,20,24,27
"2018/01/30","窾地","PM10",14,15,11,13,14,21,16,10,NA,8,9,12,17,23,28,23,24,18,17,13,14,8,7,9
"2018/01/30","窾地","SO2",1.9,1.4,1.3,1.1,2.7,2.4,1.5,1.5,3.2,2.1,2.1,2.2,2.6,3.2,3.9,4.1,3.9,2.5,2.5,2.7,2.5,2.4,2.2,2
"2018/01/31","窾地","CO",0.37,0.35,0.35,0.32,0.36,0.33,0.34,0.48,0.65,0.67,0.55,0.44,0.5,0.56,0.6,0.64,0.74,0.74,0.86,0.76,0.39,0.56,0.48,0.51
