"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"2018/01/19","竹山","CO",0.39,0.34,0.34,0.35,0.42,0.41,0.37,0.37,0.35,0.43,0.52,0.55,0.56,0.51,0.46,0.42,0.45,0.53,0.66,0.84,0.62,0.58,0.68,0.62
"2018/01/19","竹山","NOx",21,15,16,17,24,21,18,17,17,25,29,30,29,26,24,25,31,35,42,48,32,30,39,32
"2018/01/19","竹山","O3",10,13,11,7.6,2.4,3.3,5.2,9.5,15,14,14,15,16,16,19,28,22,14,5.4,1.4,1.7,1.8,1.4,1.6
"2018/01/19","竹山","PM10",83,83,86,89,83,66,50,39,39,45,47,45,43,49,62,74,71,68,73,77,78,74,75,82
"2018/01/19","竹山","SO2",0.9,2.3,2.4,1.9,1.7,1.5,1.2,1.2,0.8,1.2,1.3,1.4,1.4,1.2,1.6,1.8,1.6,1.5,1.8,1.4,0.9,1.1,1.9,2.3
"2018/01/20","竹山","CO",0.6,0.67,0.63,0.53,0.46,0.5,0.55,0.62,0.52,0.58,0.53,0.5,0.49,0.46,0.46,0.46,0.48,0.52,0.57,0.61,0.66,0.68,0.71,0.68
"2018/01/20","竹山","NOx",32,32,30,25,21,25,27,29,23,26,20,17,15,13,12,12,14,17,21,21,25,23,26,24
"2018/01/20","竹山","O3",1.4,1.3,1.2,1.9,3.1,1.3,1.5,3.1,7.1,9.6,17,29,34,42,50,51,48,48,38,30,22,16,12,10
"2018/01/20","竹山","PM10",90,104,98,93,97,105,117,110,84,71,74,84,89,89,100,109,113,119,118,114,115,116,115,111
"2018/01/20","竹山","SO2",3.3,1.7,1.8,2.1,1.8,1.6,1.5,1.7,1.7,1.6,1.5,1.4,1.1,1.1,1.2,1.4,0.8,1.4,2.1,2.1,1.7,1.6,1.2,1.2
"2018/01/21","竹山","CO",0.66,0.68,0.65,0.67,0.61,0.6,0.6,0.6,0.61,0.61,0.59,0.56,0.51,0.54,0.55,0.53,0.46,0.5,0.65,0.66,0.58,0.5,0.53,0.47
"2018/01/21","竹山","NOx",21,21,17,19,15,13,14,14,15,16,13,14,11,11,13,11,10,12,17,21,19,14,14,13
"2018/01/21","竹山","O3",12,6.8,8.6,5.5,7.6,7.3,7,6.3,6.7,8,14,19,35,48,57,65,58,52,37,26,22,25,24,18
"2018/01/21","竹山","PM10",112,109,111,126,133,125,120,118,119,113,104,98,87,90,99,105,106,103,NA,NA,99,85,80,93
"2018/01/21","竹山","SO2",2,2.6,2.8,2.4,2.2,1.9,1.7,1.8,2,2,1.9,2.2,2.2,2.7,2.6,2.7,2.7,2.5,4.9,4.4,3.6,2.3,1.9,2.2
"2018/01/22","竹山","CO",0.5,0.38,0.38,0.4,0.38,0.42,0.47,0.63,0.34,0.25,0.26,0.19,0.31,0.43,0.47,0.43,0.48,0.6,0.59,0.64,0.71,0.69,0.67,0.62
"2018/01/22","竹山","NOx",14,12,12,13,12,14,18,28,16,13,14,8.8,14,20,22,22,20,23,22,24,27,27,26,24
"2018/01/22","竹山","O3",16,21,19,16,14,7.2,4.6,7.3,18,23,23,29,38,51,50,45,49,49,44,37,24,19,17,18
"2018/01/22","竹山","PM10",92,83,91,98,87,70,57,46,32,21,23,25,31,53,79,89,89,101,102,91,81,67,58,53
"2018/01/22","竹山","SO2",2.6,2.1,2,1.6,1.6,1.5,1.7,1.9,1.7,1.6,1.6,1.4,2.1,3,3.4,3.5,2.4,2.9,2.4,3.1,3.3,3.9,2.7,1.6
"2018/01/23","竹山","CO",0.62,0.57,0.53,0.53,0.51,0.49,0.53,0.58,0.78,0.59,0.47,0.45,0.49,0.5,0.38,NA,0.25,0.29,0.35,0.44,0.42,0.37,0.39,0.36
"2018/01/23","竹山","NOx",26,22,19,18,19,20,21,24,32,24,15,13,16,17,17,NA,14,18,21,27,26,22,20,19
"2018/01/23","竹山","O3",13,14,17,15,11,9.5,9.6,7.3,10,26,42,61,77,92,86,NA,47,41,32,17,12,8.8,4.6,3.1
"2018/01/23","竹山","PM10",56,55,50,49,NA,NA,NA,51,58,59,65,79,NA,NA,NA,NA,80,84,91,82,74,71,59,53
